Duration,KeySignature,KeySignatureConfidence,loudness,Tempo,TimeSignature,TimeSignatureConfidence
280.22,5.00,0.56,-3.31,173.21,5.00,0.12
218.93,1.00,0.74,-11.20,92.20,4.00,0.78
148.04,6.00,0.17,-9.84,121.27,4.00,0.38
177.48,8.00,0.64,-9.69,100.07,1.00,0.00
233.40,0.00,0.75,-9.01,119.29,4.00,0.00
209.61,2.00,0.09,-4.50,129.74,4.00,0.56
267.70,5.00,0.64,-9.32,147.78,3.00,0.45
114.78,1.00,0.00,-17.30,111.79,1.00,0.00
189.57,4.00,0.00,-11.64,101.43,3.00,0.41
269.82,4.00,0.72,-13.50,86.64,4.00,0.49
266.40,7.00,0.05,-6.70,114.04,4.00,0.88
218.78,5.00,0.35,-10.02,146.77,1.00,0.00
245.21,7.00,0.07,-7.55,117.98,4.00,0.84
226.35,9.00,0.21,-6.63,130.04,4.00,0.00
191.84,10.00,0.00,-7.75,137.33,1.00,0.32
307.38,3.00,0.52,-8.35,125.20,3.00,0.21
491.13,7.00,1.00,-8.58,119.83,4.00,0.76
228.60,8.00,0.04,-16.11,127.76,5.00,0.58
599.25,6.00,0.06,-8.03,99.27,4.00,0.16
290.30,7.00,0.73,-5.27,150.06,4.00,0.93
165.69,7.00,0.01,-6.79,138.33,4.00,0.13
151.85,1.00,0.80,-15.22,86.19,3.00,0.93
220.79,11.00,0.81,-8.51,110.38,1.00,0.19
269.58,2.00,0.60,-8.05,111.87,4.00,1.00
207.78,7.00,0.38,-4.26,166.86,4.00,0.00
124.86,10.00,0.70,-12.33,137.52,4.00,0.00
225.10,7.00,0.53,-5.91,164.67,1.00,0.00
338.31,6.00,0.69,-6.49,125.01,4.00,1.00
186.49,5.00,0.76,-4.52,90.02,1.00,0.97
168.25,8.00,0.81,-9.62,127.03,4.00,0.79
156.39,8.00,0.57,-18.05,95.96,3.00,0.69
342.57,6.00,0.38,-11.94,110.19,3.00,0.35
484.62,4.00,0.28,-15.34,138.01,4.00,0.89
164.81,10.00,0.25,-10.92,130.10,1.00,0.00
133.33,4.00,0.38,-9.98,160.84,1.00,0.00
173.66,7.00,0.30,-7.76,41.99,1.00,0.00
313.13,9.00,0.72,-9.51,189.65,3.00,0.67
450.85,4.00,0.73,-9.06,130.59,4.00,0.42
303.10,8.00,0.53,-8.88,128.29,4.00,0.83
128.84,3.00,0.00,-17.70,90.93,3.00,1.00
456.31,1.00,0.61,-19.48,89.67,4.00,0.75
198.74,7.00,0.67,-7.47,115.06,4.00,0.73
95.69,2.00,0.42,-2.02,115.89,4.00,0.74
271.49,9.00,0.30,-10.36,139.33,1.00,0.00
226.66,0.00,0.86,-12.72,117.27,4.00,0.45
190.48,3.00,0.54,-15.66,102.43,4.00,0.50
277.79,2.00,0.00,-6.94,89.98,4.00,0.00
248.79,1.00,0.75,-7.81,116.72,4.00,0.52
195.32,7.00,0.98,-10.70,123.14,4.00,0.68
175.73,0.00,0.52,-10.93,141.92,4.00,0.45
217.23,10.00,0.01,-9.49,95.60,4.00,1.00
344.06,11.00,0.43,-9.25,154.95,1.00,0.00
251.43,7.00,0.39,-12.01,86.09,5.00,0.55
269.79,7.00,0.72,-11.04,90.22,4.00,1.00
206.05,11.00,0.64,-11.51,133.14,1.00,0.00
190.04,2.00,0.11,-14.18,205.32,4.00,0.00
241.16,9.00,0.22,-8.53,180.15,4.00,0.00
122.64,0.00,0.61,-8.54,102.54,4.00,0.87
207.07,0.00,0.44,-6.63,84.16,4.00,0.85
300.80,7.00,0.67,-13.33,124.18,4.00,0.70
228.47,7.00,0.46,-12.41,137.00,1.00,0.00
239.59,7.00,0.53,-21.55,106.33,4.00,0.53
228.94,11.00,0.17,-8.69,107.96,4.00,1.00
165.62,1.00,0.11,-6.22,174.29,3.00,0.13
187.92,0.00,0.61,-5.91,116.82,4.00,0.35
276.51,0.00,0.29,-4.64,101.97,4.00,1.00
200.25,11.00,0.06,-5.88,127.97,4.00,0.00
144.51,4.00,0.09,-7.79,152.62,4.00,0.36
285.18,7.00,0.38,-8.49,110.79,3.00,1.00
246.70,7.00,0.16,-9.60,112.90,4.00,1.00
